#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2014 02 06 21 04 220  5.0  6.0   1.4     8    MM  MM 1022.0  -4.3   4.3    MM  0.0   MM    MM
2014 02 06 20 04 200  5.0  6.0   1.7    11    MM  MM 1022.0  -4.9   4.3    MM  0.0   MM    MM
2014 02 06 19 04 210  3.0  5.0   1.6     8    MM  MM 1021.9  -5.3   4.3    MM  0.1   MM    MM
2014 02 06 18 04 220  2.0  3.0   1.5     8    MM  MM 1022.5  -5.8   4.3    MM  0.1   MM    MM
2014 02 06 17 04 240  1.0  2.0   1.8     8    MM  MM 1023.1  -5.8   4.3    MM  0.1   MM    MM
2014 02 06 16 04 350  2.0  4.0   1.8     8    MM  MM 1023.5  -6.2   4.3    MM  0.1   MM    MM
2014 02 06 15 04 350  4.0  6.0   2.1    11    MM  MM 1023.2  -6.6   4.2    MM  0.1   MM    MM
2014 02 06 14 04 360  4.0  6.0   2.0     8    MM  MM 1022.9  -6.5   4.2    MM  0.1   MM    MM
2014 02 06 13 04 350  7.0  8.0   2.6     8    MM  MM 1021.7  -6.1   4.2    MM  0.1   MM    MM
2014 02 06 11 04 340  5.0  7.0   2.0     8    MM  MM 1018.9  -5.0   4.2    MM  0.1   MM    MM
2014 02 06 10 04  10  6.0  8.0   2.0    11    MM  MM 1018.0  -5.2   3.9    MM  0.1   MM    MM
2014 02 06 09 04 360  6.0  8.0   2.6    11    MM  MM 1017.0  -5.4   3.7    MM  0.1   MM    MM
2014 02 06 08 04 350  6.0  7.0   2.3     8    MM  MM 1015.8  -5.2   3.7    MM  0.1   MM    MM
2014 02 06 07 04 360  7.0  9.0   2.3     8    MM  MM 1014.5  -5.0   3.7    MM  0.1   MM    MM
2014 02 06 06 04 360  7.0  9.0   2.8     8    MM  MM 1013.6  -4.9   3.7    MM  0.1   MM    MM
2014 02 06 05 04  10  9.0 12.0   2.6     8    MM  MM 1012.4  -4.4   3.8    MM  0.1   MM    MM
2014 02 06 04 04 360  9.0 11.0   2.6     8    MM  MM 1010.7  -4.7   3.7    MM  0.1   MM    MM
2014 02 06 03 04 360 10.0 12.0   2.7     8    MM  MM 1009.5  -4.6   3.8    MM  0.2   MM    MM
2014 02 06 02 04 360 11.0 13.0   2.5     8    MM  MM 1007.5  -4.4   3.7    MM  0.2   MM    MM
2014 02 06 01 04  10 12.0 14.0   2.6     8    MM  MM 1006.3  -4.1   3.7    MM  0.2   MM    MM
2014 02 06 00 04  10 13.0 15.0   2.8     8    MM  MM 1005.1  -3.5   3.7    MM  0.1   MM    MM
2014 02 05 23 04  10 13.0 15.0   2.6     8    MM  MM 1004.3  -3.3   3.7    MM  0.3   MM    MM
2014 02 05 22 04  10 13.0 16.0   3.2     8    MM  MM 1004.7  -3.3   3.8    MM  0.5   MM    MM
2014 02 05 21 04  50 12.0 14.0   3.3     6    MM  MM 1004.0  -0.4   3.6    MM  0.0   MM    MM
2014 02 05 20 04  60 13.0 15.0   2.8     8    MM  MM 1003.9  -0.3   3.4    MM  0.2   MM    MM
2014 02 05 19 04  80 11.0 13.0   2.4     6    MM  MM 1005.9  -0.3   3.2    MM  0.2   MM    MM
2014 02 05 18 04  70 12.0 15.0   2.4     6    MM  MM 1007.7  -0.3   3.2    MM  0.9   MM    MM
2014 02 05 17 04  70 11.0 13.0   2.4     6    MM  MM 1011.4  -0.3   3.2    MM  1.6   MM    MM
2014 02 05 16 04  90 11.0 15.0   2.3     6    MM  MM 1014.3  -0.4   3.2    MM  1.6   MM    MM
2014 02 05 15 04  60 14.0 19.0   1.9     5    MM  MM 1016.4  -0.4   3.2    MM  1.6   MM    MM
2014 02 05 14 04  80  9.0 11.0   1.5     5    MM  MM 1019.4  -0.4   3.2    MM  1.6   MM    MM
2014 02 05 13 04  60 10.0 14.0   1.2     5    MM  MM 1019.6  -0.6   3.3    MM  1.6   MM    MM
2014 02 05 12 04  70  9.0 11.0   1.1     5    MM  MM 1021.2  -0.6   3.3    MM  1.6   MM    MM
2014 02 05 11 04  90  6.0  8.0   1.0     4    MM  MM 1021.6   0.1   3.4    MM  0.9   MM    MM
2014 02 05 10 04  60  4.0  5.0   0.6    11    MM  MM 1022.3   1.2   3.3    MM  1.6   MM    MM
2014 02 05 09 04  60  1.0  2.0   0.5    11    MM  MM 1023.7   0.9   3.2    MM  1.6   MM    MM
2014 02 05 08 04  50  3.0  4.0   0.5    11    MM  MM 1024.0   0.8   3.2    MM  1.6   MM    MM
2014 02 05 07 04  60  3.0  4.0   0.6    11    MM  MM 1024.2   0.7   3.2    MM  1.6   MM    MM
2014 02 05 06 04  30  5.0  6.0   0.5     8    MM  MM 1024.2   0.5   3.2    MM  1.6   MM    MM
2014 02 05 05 04 300  2.0  3.0   0.5     8    MM  MM 1027.1   0.6   3.2    MM  1.6   MM    MM
2014 02 05 04 04 270  3.0  4.0   0.6     8    MM  MM 1027.6   0.5   3.1    MM  1.6   MM    MM
2014 02 05 03 04 260  4.0  4.0   0.6    11    MM  MM 1028.1   0.7   3.1    MM  1.6   MM    MM
2014 02 05 02 04 260  4.0  5.0   0.7     8    MM  MM 1028.1   0.8   3.1    MM  1.6   MM    MM
